Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
72036,00000428,false,Rx,0,8,00,00,00,7F,00,00,00,00,
72153,0000042F,false,Rx,0,2,00,20,00,00,00,00,00,00,
73366,00000196,false,Rx,0,8,00,64,02,FF,A0,FF,2B,00,
73561,00000156,false,Rx,0,6,FF,FF,FF,05,FF,40,00,00,
73783,0000019F,false,Rx,0,8,00,00,7D,04,00,6A,88,4E,
74004,000001A1,false,Rx,0,6,00,05,88,26,00,00,00,00,
74207,00000436,false,Rx,0,6,00,2F,08,B1,FF,DC,00,00,
76365,00000155,false,Rx,0,8,03,87,CE,54,9C,40,02,C3,
76936,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
78283,00000157,false,Rx,0,7,D5,76,09,C4,00,00,00,00,
83373,00000196,false,Rx,0,8,00,64,02,FF,A0,FF,2B,00,
83562,00000156,false,Rx,0,6,FF,FF,FF,05,FF,40,00,00,
83789,0000019F,false,Rx,0,8,00,00,7D,09,00,6A,88,4E,
83991,000001A1,false,Rx,0,6,00,05,88,26,00,00,00,00,
86962,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
88258,00000155,false,Rx,0,8,03,87,CE,54,9C,40,02,C3,
89039,00000157,false,Rx,0,7,D5,C6,09,C4,00,00,00,00,
93381,00000156,false,Rx,0,6,FF,FF,FF,05,FF,40,00,00,
93600,00000196,false,Rx,0,8,00,64,02,FF,A0,FF,2B,00,
93847,0000019F,false,Rx,0,8,00,00,7D,0E,00,6A,88,4E,
94043,000001A1,false,Rx,0,6,00,05,88,26,00,00,00,00,
96977,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
97206,00000155,false,Rx,0,8,03,87,CE,54,9C,40,02,C3,
98257,00000157,false,Rx,0,7,D5,16,09,C4,00,00,00,00,
103308,00000156,false,Rx,0,6,FF,FF,FF,05,FF,40,00,00,
103560,00000196,false,Rx,0,8,00,64,02,FF,A0,FF,2B,00,
103787,0000019F,false,Rx,0,8,00,00,7D,03,00,6A,88,4E,
103988,000001A1,false,Rx,0,6,00,05,88,26,00,00,00,00,
104232,00000422,false,Rx,0,8,00,00,3B,4F,00,A8,01,3B,
104408,0000042C,false,Rx,0,5,00,00,3F,40,DB,00,00,00,
104635,00000511,false,Rx,0,7,04,02,2C,04,DC,2A,7D,00,
106082,00000155,false,Rx,0,8,03,87,CE,54,9C,40,02,C3,
106953,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
109077,00000157,false,Rx,0,7,D5,66,09,C4,00,00,00,00,
113334,00000196,false,Rx,0,8,00,64,02,FF,A0,FF,2B,00,
113559,00000156,false,Rx,0,6,FF,FF,FF,05,FF,40,00,00,
113785,0000019F,false,Rx,0,8,00,00,7D,08,00,6A,88,4E,
113986,000001A1,false,Rx,0,6,00,05,88,26,00,00,00,00,
116965,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
117986,00000155,false,Rx,0,8,03,87,CE,54,9C,40,02,C3,
118294,00000157,false,Rx,0,7,D5,B6,09,C4,00,00,00,00,
123370,00000196,false,Rx,0,8,00,64,02,FF,A0,FF,2B,00,
123571,00000156,false,Rx,0,6,FF,FF,FF,05,FF,40,00,00,
123820,0000019F,false,Rx,0,8,00,00,7D,0D,00,6A,88,4E,
124015,000001A1,false,Rx,0,6,00,05,88,26,00,00,00,00,
126957,00000155,false,Rx,0,8,03,87,CE,54,9C,40,02,C3,
127067,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
127896,00000424,false,Rx,0,8,11,40,02,10,3D,64,AA,3E,
128119,00000425,false,Rx,0,8,11,BB,44,9C,42,1A,CD,0C,
128288,000004AF,false,Rx,0,5,65,3B,4B,3A,40,00,00,00,
129014,00000157,false,Rx,0,7,D5,06,09,C4,00,00,00,00,
133314,00000156,false,Rx,0,6,FF,FF,FF,05,FF,40,00,00,
133571,00000196,false,Rx,0,8,00,64,02,FF,A0,FF,2B,00,
133830,0000019F,false,Rx,0,8,00,00,7D,02,00,6A,88,4E,
134033,000001A1,false,Rx,0,6,00,05,88,26,00,00,00,00,
135858,00000155,false,Rx,0,8,03,87,CE,54,9C,40,02,C3,
137033,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
138273,00000157,false,Rx,0,7,D5,56,09,C4,00,00,00,00,
138534,00000423,false,Rx,0,8,07,1E,FF,FD,B2,A0,B2,C1,
143314,00000156,false,Rx,0,6,FF,FF,FF,05,FF,40,00,00,
143519,00000196,false,Rx,0,8,00,64,02,FF,A0,FF,2B,00,
143748,0000019F,false,Rx,0,8,00,00,7D,07,00,6A,88,4E,
143939,000001A1,false,Rx,0,6,00,05,88,26,00,00,00,00,
146958,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
147705,00000155,false,Rx,0,8,03,87,CE,54,9C,40,02,C3,
149046,00000157,false,Rx,0,7,D5,A6,09,C4,00,00,00,00,
153474,00000156,false,Rx,0,6,FF,FF,FF,05,FF,40,00,00,
153546,00000196,false,Rx,0,8,00,64,02,FF,A0,FF,2B,00,
153833,0000019F,false,Rx,0,8,00,00,7D,0C,00,6A,88,4E,
154054,000001A1,false,Rx,0,6,00,05,88,26,00,00,00,00,
154175,00000435,false,Rx,0,4,FF,FF,1E,00,00,00,00,00,
156909,00000155,false,Rx,0,8,03,87,CE,54,9C,40,02,C3,
156977,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
158218,00000157,false,Rx,0,7,D5,F6,09,C4,00,00,00,00,
163362,00000156,false,Rx,0,6,FF,FF,FF,05,FF,40,00,00,
163546,00000196,false,Rx,0,8,00,64,02,FF,A0,FF,2B,00,
163947,0000019F,false,Rx,0,8,00,00,7D,01,00,6A,88,4E,
163954,000001A1,false,Rx,0,6,00,05,88,26,00,00,00,00,
