Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
2063777,00000423,false,Rx,0,8,07,1D,00,02,B2,20,B2,D8,
2064002,0000019F,false,Rx,0,8,00,00,7D,06,00,6A,90,FE,
2068021,00000155,false,Rx,0,8,0A,87,F2,54,98,48,02,CA,
2068274,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
2068852,00000157,false,Rx,0,8,D5,67,09,C4,FF,E0,BE,80,
2069075,000001A1,false,Rx,0,8,B2,8B,3C,34,99,0C,80,20,
2069333,00000426,false,Rx,0,8,00,A0,01,00,4B,C8,00,80,
2073952,0000019F,false,Rx,0,8,00,00,7D,0B,00,6A,90,FE,
2077954,00000155,false,Rx,0,8,0A,87,F2,54,98,48,02,CA,
2078278,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
2078825,00000157,false,Rx,0,8,D5,B7,09,C4,FF,E0,BE,80,
2079024,000001A1,false,Rx,0,8,B2,8B,34,34,99,0C,80,20,
2083824,00000435,false,Rx,0,8,FF,FF,1E,6A,3B,10,00,00,
2084046,0000019F,false,Rx,0,8,00,00,7D,00,00,6A,90,FE,
2088014,00000155,false,Rx,0,8,0A,87,F2,54,98,48,02,CB,
2088299,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
2088774,00000157,false,Rx,0,8,D5,07,09,C4,FF,E0,BE,80,
2089020,000001A1,false,Rx,0,8,B2,8B,3C,34,99,0C,80,20,
2089216,00000436,false,Rx,0,6,86,14,AB,03,FF,DC,00,00,
2093250,0000042F,false,Rx,0,2,32,20,00,00,00,00,00,00,
2093950,0000019F,false,Rx,0,8,00,00,7D,05,00,6A,90,FE,
2094202,00000511,false,Rx,0,7,04,D3,B4,1B,16,EA,4F,00,
2097974,00000155,false,Rx,0,8,0A,87,F2,54,98,48,02,CA,
2098294,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
2098874,00000157,false,Rx,0,8,D5,57,09,C4,FF,E0,BE,80,
2099104,000001A1,false,Rx,0,8,B2,8B,3C,34,99,0C,80,20,
2103951,0000019F,false,Rx,0,8,00,00,7D,0A,00,6A,90,FE,
2107933,00000155,false,Rx,0,8,0A,87,F2,54,98,48,02,CB,
2108301,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
2108833,00000157,false,Rx,0,8,D5,A7,09,C4,FF,E0,BE,80,
2109077,000001A1,false,Rx,0,8,B2,8B,34,34,99,0C,80,20,
2113957,0000019F,false,Rx,0,8,00,00,7D,0F,00,6A,90,FE,
2117933,00000155,false,Rx,0,8,0A,87,F1,54,98,48,02,CA,
2118151,00000424,false,Rx,0,8,11,40,56,C8,3F,5E,AA,40,
2118322,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
2118573,00000425,false,Rx,0,8,0A,D2,44,9C,3E,22,FD,10,
2118828,00000157,false,Rx,0,8,D5,F7,09,C4,FF,E0,BE,80,
2119048,000001A1,false,Rx,0,8,B2,8B,4A,34,99,0C,80,20,
2123954,0000019F,false,Rx,0,8,00,00,7D,04,00,6A,90,FE,
2127933,00000155,false,Rx,0,8,0A,87,F2,54,98,48,02,CC,
2128329,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
2128829,00000157,false,Rx,0,8,D5,47,09,C4,FF,E0,BE,80,
2129053,000001A1,false,Rx,0,8,B2,8B,48,34,B9,0C,80,20,
2133933,0000019F,false,Rx,0,8,00,00,7D,09,00,6A,90,FE,
2137931,00000155,false,Rx,0,8,0A,87,F1,54,98,48,02,CA,
2138325,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
2138882,00000157,false,Rx,0,8,D5,97,09,C4,FF,E0,BE,80,
2139136,000001A1,false,Rx,0,8,B2,8B,7A,34,A9,0C,80,20,
2143382,000004F7,false,Rx,0,8,00,3C,0C,22,28,B8,06,F0,
2143953,0000019F,false,Rx,0,8,00,00,7D,0E,00,6A,90,FE,
2144202,00000419,false,Rx,0,6,5E,08,2A,E6,7E,00,00,00,
2147930,00000155,false,Rx,0,8,0A,87,F2,54,98,48,02,CB,
2148326,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
2148805,00000157,false,Rx,0,8,D5,E7,09,C4,FF,E0,BE,80,
2149024,000001A1,false,Rx,0,8,B2,8B,B4,34,99,0C,80,20,
2153654,00000445,false,Rx,0,7,80,55,AA,65,04,82,00,00,
2153951,0000019F,false,Rx,0,8,00,00,7D,03,00,6A,90,FE,
2158005,00000155,false,Rx,0,8,0A,87,F2,54,98,48,02,CA,
2158324,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
2158802,00000157,false,Rx,0,8,D5,37,09,C4,FF,E0,BE,80,
